year,title,topic_by_teacher
2002,Networks on chips: a new SoC paradigm,design space exploration
2001,"Route packets, not wires: on-chip interconnection networks","routing, link"
2006,A survey of research and practices of Network-on-chip,"survey,topology, routing, performance evaluation"
2002,A network on chip architecture and design methodology,"design space exploration, noc for memory, noc for fpga, mesh, physical design"
2005,"AEthereal network on chip: concepts, architectures, and implementations",flow control
2005,Performance evaluation and design trade-offs for network-on-chip interconnect architectures,"Performance evaluation,topology"
2007,On-Chip Interconnection Architecture of the Tile Processor,"mesh, noc for many-core"
2008,Photonic Networks-on-Chip for Future Generations of Chip Multiprocessors,"optical,topology, routing , deadlock avoidance,Emulation and Simulation/Simulator"
2008,An 80-Tile Sub-100-W TeraFLOPS Processor in 65-nm CMOS,"mesh,chip implementation"
2009,"Outstanding Research Problems in NoC Design: System, Microarchitecture, and Circuit Perspectives","survey,design space exploration"
2005,Energy- and performance-aware mapping for regular NoC architectures,"mapping, deterministic routing, deadlock avoidance,branch-and-bound"
2007,A 5-GHz Mesh Interconnect for a Teraflops Processor,chip implementation
2007,An 80-Tile 1.28TFLOPS Network-on-Chip in 65nm CMOS,chip implementation
2004,HERMES: an infrastructure for low area overhead packet-switching networks on chip,"flow control,routing ,mesh"
2004,QNoC: QoS architecture and design process for network on chip,"QoS,mesh,routing,flow control"
2003,Energy-aware mapping for tile-based NoC architectures under performance constraints,"mapping, deterministic routing, deadlock avoidance,branch-and-bound"
2009,GARNET: A detailed on-chip network model inside a full-system simulator,"Emulation and Simulation/Simulator,virtual channel,noc for memory,flow control"
2004,Low-Latency Virtual-Channel Routers for On-Chip Networks,"Virtual Channel,router design,routing "
2004,Xpipes: a network-on-chip architecture for gigascale systems-on-chip,"flow control,synthesis,application-specific"
2007,Research Challenges for On-Chip Interconnection Networks,survey
2009,Networks-on-Chip in a Three-Dimensional Environment: A Performance Evaluation,"3D,performance Evaluation,placement and floorplanning"
2013,A detailed and flexible cycle-accurate Network-on-Chip simulator,"Emulation and Simulation/Simulator, topology, routing , flow control, router design"
2007,3-D Topologies for Networks-on-Chip,"3D,topology"
2012,DSENT - A Tool Connecting Emerging Photonics with Electronics for Opto-Electronic Networks-on-Chip Modeling,"Emulation and Simulation/Simulator,virtual channel,noc for memory,flow control"
2001,Addressing the system-on-a-chip interconnect woes through communication-based design,design space exploration
2009,Firefly: illuminating future network-on-chip with nanophotonics,"optical,concentrated ,hierarchical,crossbar"
2003,Power-driven design of router microarchitectures in on-chip networks,"router design,crossbar,express topology"
2006,It's a small world after all: NoC performance optimization via long-range link insertion,"link,application-specific"
2005,Key research problems in NoC design: a holistic perspective,"survey,synthesis,mapping"
2010,Design Issues and Considerations for Low-Cost 3-D TSV IC Technology,"3D,TSV"
2008,Regional congestion awareness for load balance in networks-on-chip,"flow control, adapting routing"
2002,An interconnect architecture for networking systems on chips,octagon
2005,A Router Architecture for Connection-Oriented Service Guarantees in the MANGO Clockless Network-on-Chip,"flow control,arbitration ,routing,router design"
2006,ViChaR: A Dynamic Virtual Channel Regulator for Network-on-Chip Routers,"Virtual Channel, router design,buffer ,flow control"
2003,A two-step genetic algorithm for mapping task graphs to a network on chip architecture,"mapping, genetic algorithm"
2007,On the Design of a Photonic Network-on-Chip,"optical,topology, routing,deadlock avoidance"
2003,SoCIN: a parametric and scalable network-on-chip,"synthesis ,design space exploration"
2003,SoCBUS: switched network on chip for hard real time embedded systems,"NoC for real-time (critical) systems,deadlock avoidance,telecommunication"
2006,Linear-programming-based techniques for synthesis of network-on-chip architectures,"synthesis,ILP,link,topology"
2004,Energy-aware communication and task scheduling for network-on-chip architectures under real-time constraints,"scheduling,NoC for real-time (critical) systems"
2007,A novel dimensionally-decomposed router for on-chip communication in 3D architectures,"router design,3D,crossbar"
2005,An asynchronous NOC architecture providing low latency service and its multi-level design framework,asynchronous
2007,A 4.6Tbits/s 3.6GHz single-cycle NoC router with a novel switch allocator in 65nm CMOS,"chip implementation,virtual channel,buffer"
2008,CMP network-on-chip overlaid with multi-band RF-interconnect,wireless
2011,Scalable Hybrid Wireless Network-on-Chip Architectures for Multicore Systems,Wireless
2006,System-on-Chip: Reuse and Integration,"design space exploration, testing and diagnosis"
2007,On-chip communication architecture exploration: A quantitative evaluation of point-to-point,"bus, and network-on-chip approaches, topology,multimedia"
2006,Exploring Fault-Tolerant Network-on-Chip Architectures,Fault Tolerance
2004,The Nostrum backbone-a communication protocol stack for Networks on Chip,flow control
2004,Fault tolerant algorithms for network-on-chip interconnect,Fault Tolerance
2009,A 167-Processor Computational Platform in 65 nm CMOS,chip implementation
2013,A survey on application mapping strategies for Network-on-Chip design,"survey,mapping"
2004,Multi-objective mapping for mesh-based NoC architectures,"mesh,mapping"
2012,ORION 2.0: A Power-Area Simulator for Interconnection Networks,Emulation and Simulation/Simulator
2012,Wireless NoC as Interconnection Backbone for Multicore Chips: Promises and Challenges,"wireless,single-hop"
2003,Design of a switch for network on chip applications,"router design,routing ,flow control"
2007,Predator: a predictable SDRAM memory controller,noc for memory
2010,ATAC: a 1000-core cache-coherent processor with on-chip optical network,"optical, cache"
2004,Spidergon: a novel on-chip communication network,Spidergon
2003,Xpipes: A latency insensitive parameterized network-on-chip architecture for multi-processor SoCs,synthesis
2004,On-chip traffic modeling and synthesis for MPEG-2 video applications,"modeling, multimedia"
2004,"On-chip networks: a scalable, communication-centric embedded system design paradigm",survey
2008,SD-MAC: Design and Synthesis of a Hardware-Efficient Collision-Free QoS-Aware MAC Protocol for Wireless Network-on-Chip,"Synthesis,Wireless,flow control"
2006,Low-power network-on-chip for high-performance SoC design,"crossbar,link,chip implementation"
2008,A low-overhead fault tolerance scheme for TSV-based 3D network on chip links,"3D,tsv,fault tolerance,link"
2006,Designing application-specific networks on chips with floorplan information,"placement and floorplanning,application-specific,deadlock avoidance, routing,synthesis,circuit and physical layer,Emulation and Simulation/Simulator, design space exploration"
2005,An energy-efficient reconfigurable circuit-switched network-on-chip,"reconfiguration, flow control"
2009,Design and evaluation of a hierarchical on-chip interconnect for next-generation CMPs,"hierarchical,bus"
2006,Implementation and Evaluation of On-Chip Network Architectures,"wormhole ,virtual channel,chip implementation"
2013,SpiNNaker: A 1-W 18-Core System-on-Chip for Massively-Parallel Neural Network Simulation,"machine learning,chip implementation,asynchronous ,flow control"
2006,System-Level Buffer Allocation for Application-Specific Networks-on-Chip Router Design,"buffer,router design,multimedia"
2009,Application-aware prioritization mechanisms for on-chip networks,flow control
2009,Express Cube Topologies for on-Chip Interconnects,express topology
2004,"Thermal Modeling, Characterization and Management of On-Chip Networks","modeling,temperature,power/thermal management"
2011,CHIPPER: A low-complexity bufferless deflection router,"bufferless,bufferless,flow control,avoiding deadlock"
2013,Methods for fault tolerance in networks-on-chip,"survey,fault tolerance,testing and diagnosis"
2010,FlexiShare: Channel sharing for an energy-efficient nanophotonic crossbar,"crossbar,optical"
2005,A unified approach to constrained mapping and routing on network-on-chip architectures,"mapping, routing,flow control"
2006,A Methodology for Mapping Multiple Use-Cases onto Networks on Chips,"mapping,reconfiguration"
2009,"Preemptive virtual clock: a flexible, efficient, and cost-effective QOS scheme for networks-on-chip","QoS, flow control"
2005,A technique for low energy mapping and routing in network-on-chip architectures,"mapping, routing"
2003,Towards on-chip fault-tolerant communication,fault tolerance
2008,Energy- and Performance-Aware Incremental Mapping for Networks on Chip With Multiple Voltage Levels,"mapping,dvfs"
2007,Voltage-frequency island partitioning for GALS-based networks-on-chip,"V/F island, asynchronous, power/thermal management"
2009,Application Specific Routing Algorithms for Networks on Chip,"Routing,deadlock avoidance,mesh"
2009,A communication characterisation of Splash-2 and Parsec,performance evaluation
2005,DyNoC: A dynamic infrastructure for communication in dynamically reconfugurable devices,"reconfuguration,routing ,deadlock avoidance"
2012,Globally Synchronized Frames for guaranteed quality-of-service in on-chip networks,"QoS,virtual channel"
2007,Heuristics for Dynamic Task Mapping in NoC-based Heterogeneous MPSoCs,"mapping,flow control"
