title,topic_by_teacher
title,topic_by_teacher
title,topic_by_teacher
title,topic_by_teacher
title,topic_by_teacher
title,topic_by_teacher
title,topic_by_teacher
title,topic_by_teacher
title,topic_by_teacher
title,topic_by_teacher
title,topic_by_teacher
title,topic_by_teacher
title,topic_by_teacher
title,topic_by_teacher
Binary de Bruijn on-chip network for a flexible multiprocessor LDPC decoder,LDPC decoder
An area-efficient high-throughput hybrid interconnection network for single-chip parallel processing,"Mesh-of-Trees,butterfly"
A reconfigurable routing algorithm for a fault-tolerant 2D-Mesh Network-on-Chip,"fault tolerance,routing,reconfiguration"
A practical approach of memory access parallelization to exploit multiple off-chip DDR memories,memory controller
Variation-adaptive feedback control for networks-on-chip with multiple clock domains, V/F island
Application mapping for chip multiprocessors,"mapping,compiler"
Concurrent topology and routing optimization in automotive network integration,"design space exploration ,ILP,Evolutionary Algorithm"
A dynamically-allocated virtual channel architecture with congestion awareness for on-chip routers,virtual channel
PARM: power supply noise aware resource management for NoC based multicore systems in the dark silicon era,power supply noise
Coding Approach for Low-Power 3D Interconnects,"3D NoC, TSV"
SOTERIA: exploiting process variations to enhance hardware security with photonic NoC architectures,"optical-->microring, security-->attack-->HT-->info leak, defense"
LEAD: learning-enabled energy-aware dynamic voltage/frequency scaling in NoCs,"solution-->algorithm-->reinforcement learning, power/thermal management-->technique-->DVFS"
PlanarONoC: concurrent placement and routing considering crossing minimization for optical networks-on-chip,"optical,placement and floorplanning"
DyAD: smart routing for networks-on-chip,"routing, adaptive routing"
Operating-system controlled network on chip.,operating system
An efficient scalable and flexible data transfer architecture for multiprocessor SoC with massive distributed memory,NoC for memory
Design space exploration and prototyping for on-chip multimedia applications.,"design space exploration, power consumption, Design space exploration"
Statistical on-chip communication bus synthesis and voltage scaling under timing yield constraint,"dvfs,synthesis,timing"
Behavior and communication co-optimization for systems with sequential communication media,synthesis
Synthesis of high-performance packet processing pipelines,synthesis
Optimal link scheduling on improving best-effort and guaranteed services performance in network-on-chip systems,flow control
Prediction-based flow control for network-on-chip traffic,flow control
A multi-path routing strategy with guaranteed in-order packet delivery and fault-tolerance for networks on chip,routing
DyXY: a proximity congestion-aware deadlock-free dynamic routing method for network on chip,"routing,deadlock, avoidance"
Fault-tolerant Routing for On-chip Network Without Using Virtual Channels,"fault tolerance,routing-->adaptive"
VIX: Virtual Input Crossbar for Efficient Switch Allocation,"Crossbar, virtual channel"
SHiFA: System-Level Hierarchy in Run-Time Fault-Aware Management of Many-Core Systems,"fault tolerance, mapping-->runtime"
Disease Diagnosis-on-a-Chip: Large Scale Networks-on-Chip based Multicore Platform for Protein Folding Analysis,bio/ medical
CAP: Communication Aware Programming,programming
Fort-NoCs: Mitigating the Threat of a Compromised NoC,"side-channel attack, defense"
NoC-Sprinting: Interconnect for Fine-Grained Sprinting in the Dark Silicon Era,"power/thermal management, power gating, Sprinting,routing, topology, floorplanning"
darkNoC: Designing Energy-Efficient Network-on-Chip with Multi-Vt Cells for Dark Silicon,"power/thermal management,Multi-Vt"
Power-Aware NoCs through Routing and Topology Reconfiguration,"power/thermal management-->power-gating,Routing,Reconfiguration"
Quality-of-Service for a High-Radix Switch,"router design,High-Radix"
Complementary communication path for energy efficient on-chip optical interconnects,optical
On-chip interconnection network for accelerator-rich architectures,NoC for accelerator
Bandwidth-efficient on-chip interconnect designs for GPGPUs,"NoC for GPU,virtual channel"
DimNoC: a dim silicon approach towards power-efficient on-chip network,"Power/thermal mamnagement, Spintronics, drowsy, buffer"
Domain-wall memory buffer for low-energy NoCs,"NoC for memory, Spintronics"
SuperNet: multimode interconnect architecture for manycore chips,"power/thermal management, reliability,multi-vt"
